site.seq.no,swims.station.id,wbic,huc8_code,huc10_code,huc12_code,WMU_NAME,WMU_CODE,us_l3code,us_l3name
52746728,10034674,2656600,07030001,0703000108,070300010801,St Croix,SC,51,North Central Hardwood Forests
71874,10008355,272600,04030202,0403020216,040302021604,Wolf River,WR,51,North Central Hardwood Forests
809,043182,2885500,04010301,0401030110,040103011007,Lake Superior,LS,50,Northern Lakes and Forests
20759816,10022324,2740700,07030001,0703000101,070300010106,St Croix,SC,50,Northern Lakes and Forests
27104072,10029511,2724300,07030002,0703000202,070300020202,St Croix,SC,50,Northern Lakes and Forests
62775594,10037498,1562700,07070001,0707000113,070700011305,Upper Wisconsin,UW,50,Northern Lakes and Forests
127216,10010376,2744800,07030001,0703000101,070300010103,St Croix,SC,50,Northern Lakes and Forests
10555,583180,2725100,07030002,0703000202,070300020202,St Croix,SC,50,Northern Lakes and Forests
4669,263173,2940100,04010302,0401030207,040103020703,Lake Superior,LS,50,Northern Lakes and Forests
10035,553159,2111300,07050007,0705000701,070500070104,Lower Chippewa,LC,50,Northern Lakes and Forests
19231329,10021340,1648300,07060001,0706000105,070600010501,Bad Axe - La Crosse,BL,52,Driftless Area
7637,423222,1200000,07070006,0707000601,070700060102,Lower Wisconsin,LW,52,Driftless Area
131733,10013531,2886800,04010301,0401030110,040103011008,Lake Superior,LS,50,Northern Lakes and Forests
11564,633174,1188000,07070006,0707000602,070700060204,Lower Wisconsin,LW,52,Driftless Area
10034,553158,2357300,07050001,0705000107,070500010703,Upper Chippewa,UC,50,Northern Lakes and Forests
57254912,10035023,1195700,07070006,0707000603,070700060303,Lower Wisconsin,LW,52,Driftless Area
4555,253197,1243100,07070005,0707000507,070700050702,Lower Wisconsin,LW,52,Driftless Area
3298,163379,2747400,07030001,0703000101,070300010104,St Croix,SC,50,Northern Lakes and Forests
25441704,10029005,2740500,07030001,0703000101,070300010107,St Croix,SC,50,Northern Lakes and Forests
75370,10009071,2447600,07040001,0704000101,070400010101,Lower Chippewa,LC,52,Driftless Area
37488593,10031744,311800,04030202,0403020210,040302021005,Wolf River,WR,51,North Central Hardwood Forests
72682,10008786,285600,04030202,0403020215,040302021503,Wolf River,WR,51,North Central Hardwood Forests
72079,10008431,285600,04030202,0403020215,040302021503,Wolf River,WR,51,North Central Hardwood Forests
72260,10008570,285600,04030202,0403020215,040302021503,Wolf River,WR,51,North Central Hardwood Forests
72154,10008501,289000,04030202,0403020215,040302021504,Wolf River,WR,51,North Central Hardwood Forests
72082,10008434,289200,04030202,0403020215,040302021501,Wolf River,WR,51,North Central Hardwood Forests
72257,10008567,1471800,07070002,0707000206,070700020602,Central Wisconsin,CW,51,North Central Hardwood Forests
72081,10008433,1471800,07070002,0707000206,070700020602,Central Wisconsin,CW,51,North Central Hardwood Forests
128572,10010929,713100,04030106,0403010603,040301060302,Green Bay,GB,50,Northern Lakes and Forests
71891,10008371,278200,04030202,0403020216,040302021602,Wolf River,WR,51,North Central Hardwood Forests
75168,10008965,2051000,07050005,0705000512,070500051205,Lower Chippewa,LC,52,Driftless Area
75184,10008971,2051000,07050005,0705000512,070500051205,Lower Chippewa,LC,52,Driftless Area
75133,10008954,2051300,07050005,0705000511,070500051102,Lower Chippewa,LC,52,Driftless Area
75352,10009065,2051300,07050005,0705000511,070500051102,Lower Chippewa,LC,52,Driftless Area
75364,10009069,2051300,07050005,0705000511,070500051102,Lower Chippewa,LC,52,Driftless Area
75372,10009073,2051300,07050005,0705000511,070500051102,Lower Chippewa,LC,52,Driftless Area
75382,10009083,2051300,07050005,0705000511,070500051102,Lower Chippewa,LC,52,Driftless Area
75132,10008953,2051470,07050005,0705000511,070500051102,Lower Chippewa,LC,52,Driftless Area
75175,10008966,2051500,07050005,0705000511,070500051102,Lower Chippewa,LC,52,Driftless Area
129376,10011471,2604700,07030005,0703000511,070300051104,St Croix,SC,47,Western Corn Belt Plains
125533,10009691,2055000,07050005,0705000510,070500051004,Lower Chippewa,LC,47,Western Corn Belt Plains
