site.seq.no,hydro_id,reach_id
52746728,200177095,200177095
809,200206706,200206706
20759816,200195063,200195063
27104072,200187327,200187327
62775594,200169015,200169015
127216,200197533,200197533
10555,200188660,200188660
4669,200203023,200203023
10035,200170246,200170246
19231329,200056029,200056029
7637,200059372,200059372
131733,200205604,200205604
11564,200043525,200043525
10034,200164555,200164555
57254912,200051076,200051076
4555,200024843,200024843
3298,200197924,200197924
25441704,200196721,200196721
75370,200211642,200211642
37488593,200131075,200131075
72682,200122174,200122174
72079,200209902,200209902
72260,200122174,200122174
72154,200119431,200119431
72082,200121007,200121007
72257,200145813,200145813
72081,200145172,200145172
128572,200189871,200189871
71891,200107351,200107351
75168,200109326,200109326
75184,200109363,200109363
75133,200109918,200109918
75352,200110489,200110489
75372,200111985,200111985
75382,200112712,200112712
75175,200112127,200112127
129376,200135762,200135762
125533,200128795,200128795
75238,200111559,200111559
26002926,200117643,200117643
71956,200116328,200116328
72449,200115647,200115647
72454,200114646,200114646
72428,200114117,200114117
124572,200130374,200130374
75093,200116464,200116464
75966,200117970,200117970
76028,200118848,200118848
76103,200119510,200119510
76104,200120280,200120280
75347,200123554,200123554
75363,200125076,200125076
75377,200211642,200211642
72259,200116998,200116998
72078,200116998,200116998
62166,200211259,200211259
124524,200123671,200123671
125516,200211756,200211756
76560,200088083,200088083
76559,200088112,200088112
76515,200087414,200087414
76521,200087336,200087336
76494,200087439,200087439
76492,200087587,200087587
76546,200089215,200089215
76547,200089215,200089215
76544,200089215,200089215
129689,200049046,200049046
128694,200144284,200144284
129696,200144284,200144284
124568,200126203,200126203
129445,200126448,200126448
72476,200114166,200114166
72474,200212166,200212166
72444,200107761,200107761
72447,200107448,200107448
128353,200132838,200132838
129624,200133439,200133439
75990,200208566,200208566
76112,200208560,200208560
75991,200057555,200057555
75256,200062359,200062359
75980,200063426,200063426
75387,200113975,200113975
75397,200115674,200115674
21931657,200117230,200117230
75388,200117624,200117624
75390,200118689,200118689
75398,200119165,200119165
75345,200113424,200113424
75351,200114164,200114164
75124,200116824,200116824
75115,200116462,200116462
75166,200120986,200120986
75134,200119761,200119761
75109,200119920,200119920
124552,200130719,200130719
75217,200107845,200107845
72441,200108415,200108415
72462,200107682,200107682
72407,200108904,200108904
128733,200105441,200105441
72451,200114231,200114231
129775,200149256,200149256
75091,200113872,200113872
75965,200115464,200115464
129437,200121185,200121185
129438,200122299,200122299
128264,200144462,200144462
75218,200027839,200027839
75041,200209123,200209123
76109,200127921,200127921
62538,200058644,200058644
76110,200135277,200135277
76387,200212395,200212395
72080,200123466,200123466
129301,200147455,200147455
129307,200131796,200131796
129309,200131796,200131796
129311,200209501,200209501
129346,200131026,200131026
129351,200135278,200135278
129354,200134938,200134938
129358,200134627,200134627
129364,200130538,200130538
129365,200135450,200135450
129372,200133815,200133815
129374,200135806,200135806
124567,200127045,200127045
22174518,200211664,200211664
23000223,200212174,200212174
125525,200126760,200126760
23000345,200140073,200140073
22177485,200160514,200160514
22084567,200161303,200161303
22084556,200160404,200160404
72686,200140829,200140829
129386,200135666,200135666
129388,200134444,200134444
23000516,200139612,200139612
128592,200041621,200041621
125526,200126803,200126803
126479,200151309,200151309
126633,200153372,200153372
126497,200153372,200153372
126732,200153372,200153372
126723,200153662,200153662
22176919,200160514,200160514
129392,200135954,200135954
129394,200130636,200130636
129395,200130849,200130849
129397,200130872,200130872
129401,200130847,200130847
129405,200210073,200210073
129408,200133081,200133081
129409,200134036,200134036
129410,200134507,200134507
129413,200134708,200134708
129414,200135731,200135731
129415,200135995,200135995
129416,200136712,200136712
129423,200137287,200137287
129425,200137675,200137675
129433,200118227,200118227
22219447,200209917,200209917
22176838,200161072,200161072
129341,200132652,200132652
129441,200124225,200124225
22084530,200160698,200160698
22084621,200162567,200162567
72685,200140110,200140110
3483,200140970,200140970
128593,200041360,200041360
129439,200123042,200123042
129440,200123589,200123589
124570,200129346,200129346
128351,200133205,200133205
125426,200128843,200128843
125455,200125793,200125793
125634,200142450,200142450
128594,200035533,200035533
125423,200129937,200129937
128378,200020924,200020924
128603,200189608,200189608
72467,200112290,200112290
129588,200135100,200135100
129591,200136057,200136057
129604,200134749,200134749
129605,200132978,200132978
128358,200132672,200132672
129715,200020897,200020897
130761,200094863,200094863
128591,200038954,200038954
129768,200149251,200149251
129600,200134374,200134374
125683,200151477,200151477
124918,200054602,200054602
129703,200146458,200146458
128465,200148002,200148002
75250,200063290,200063290
76113,200056797,200056797
125539,200130383,200130383
129780,200150357,200150357
131761,200189062,200189062
131896,200185472,200185472
131899,200185824,200185824
131901,200186315,200186315
129778,200149774,200149774
129779,200150157,200150157
129782,200150663,200150663
130009,200210117,200210117
128563,200189308,200189308
129792,200142063,200142063
129785,200143267,200143267
129786,200143770,200143770
129471,200119053,200119053
129473,200119954,200119954
125461,200020888,200020888
129776,200149632,200149632
129789,200144985,200144985
129790,200143163,200143163
129434,200119141,200119141
128268,200143267,200143267
129428,200116961,200116961
129645,200153238,200153238
129781,200150663,200150663
128183,200130219,200130219
125523,200127045,200127045
129690,200049046,200049046
128139,200054055,200054055
128124,200211492,200211492
125671,200151569,200151569
125309,200117732,200117732
129436,200120920,200120920
129671,200148671,200148671
128118,200038406,200038406
128136,200054446,200054446
128137,200054446,200054446
128027,200013721,200013721
128043,200212445,200212445
72691,200148295,200148295
125450,200128529,200128529
124526,200130089,200130089
125452,200127479,200127479
125430,200128917,200128917
124730,200118347,200118347
125440,200128529,200128529
125433,200129462,200129462
125415,200131045,200131045
125434,200126832,200126832
128143,200208608,200208608
125388,200119521,200119521
128709,200038898,200038898
125301,200117361,200117361
125349,200118669,200118669
125293,200116656,200116656
125431,200128420,200128420
62231,200212457,200212457
124569,200128558,200128558
129470,200118337,200118337
128184,200130219,200130219
72687,200142691,200142691
125529,200127214,200127214
125530,200127520,200127520
125631,200147896,200147896
128160,200210253,200210253
128163,200083656,200083656
128123,200211492,200211492
23052563,200142294,200142294
128007,200012660,200012660
128121,200040104,200040104
128122,200040104,200040104
72690,200212506,200212506
125767,200211688,200211688
22218070,200158866,200158866
124520,200126538,200126538
129728,200151459,200151459
129693,200143862,200143862
3430,200142190,200142190
128022,200013833,200013833
129691,200049127,200049127
129692,200049412,200049412
129694,200049268,200049268
129713,200153527,200153527
129723,200153348,200153348
125764,200211688,200211688
129802,200146959,200146959
125554,200134490,200134490
72695,200149169,200149169
125765,200211688,200211688
129617,200133049,200133049
128282,200133104,200133104
129619,200133371,200133371
125459,200127083,200127083
72706,200150729,200150729
125556,200135258,200135258
124575,200132514,200132514
125477,200130830,200130830
125476,200130385,200130385
125468,200123251,200123251
125466,200124034,200124034
125471,200212286,200212286
125479,200131650,200131650
125499,200130788,200130788
125496,200132514,200132514
125480,200132462,200132462
137546,200127275,200127275
125651,200148785,200148785
72698,200148845,200148845
124530,200130830,200130830
72694,200148326,200148326
22174378,200211867,200211867
125444,200020456,200020456
125484,200130652,200130652
128176,200086167,200086167
128175,200085100,200085100
125424,200129542,200129542
124532,200128760,200128760
125472,200125920,200125920
125490,200212169,200212169
129711,200151958,200151958
129566,200137897,200137897
129521,200135879,200135879
129522,200136811,200136811
128269,200137826,200137826
129523,200138023,200138023
129524,200139183,200139183
129525,200139838,200139838
128274,200137490,200137490
129704,200148216,200148216
129452,200128104,200128104
129553,200138280,200138280
129558,200137689,200137689
129571,200138185,200138185
128211,200138455,200138455
129574,200139578,200139578
129576,200139826,200139826
129444,200126120,200126120
125462,200020888,200020888
125456,200020888,200020888
125463,200021348,200021348
128212,200138348,200138348
129583,200138379,200138379
128214,200135403,200135403
129587,200135336,200135336
129589,200136517,200136517
129590,200136063,200136063
129594,200133665,200133665
129597,200134099,200134099
129712,200153070,200153070
128246,200153070,200153070
129442,200124605,200124605
129443,200125392,200125392
128243,200134379,200134379
129568,200138157,200138157
129710,200151657,200151657
129620,200132171,200132171
129621,200132704,200132704
128457,200133474,200133474
128355,200133420,200133420
129634,200133420,200133420
129639,200133279,200133279
129681,200151071,200151071
129682,200149759,200149759
129683,200150024,200150024
129686,200152585,200152585
129687,200152340,200152340
124404,200153356,200153356
125475,200132104,200132104
72710,200150869,200150869
125473,200129582,200129582
125738,200150156,200150156
132101,200043794,200043794
125740,200149399,200149399
129770,200150603,200150603
129772,200149200,200149200
129773,200149768,200149768
128250,200148226,200148226
129707,200149616,200149616
128302,200150003,200150003
129709,200151017,200151017
128244,200143765,200143765
129688,200143765,200143765
129695,200143909,200143909
128466,200144462,200144462
129702,200145865,200145865
72689,200148822,200148822
128344,200147034,200147034
125657,200148582,200148582
22212060,200161303,200161303
129446,200127062,200127062
129450,200128104,200128104
125422,200129881,200129881
125427,200129937,200129937
125494,200128895,200128895
128239,200152620,200152620
129732,200152945,200152945
128265,200146499,200146499
129766,200146513,200146513
129767,200147011,200147011
137491,200058972,200058972
131455,200057773,200057773
131559,200029500,200029500
128249,200149779,200149779
137498,200058419,200058419
129798,200141877,200141877
131456,200058145,200058145
131460,200212071,200212071
131465,200100176,200100176
131458,200100176,200100176
131466,200112910,200112910
129476,200126864,200126864
129481,200123480,200123480
128301,200134982,200134982
129488,200137281,200137281
128454,200135725,200135725
19189118,200135725,200135725
128206,200137281,200137281
22084558,200161303,200161303
135083,200004853,200004853
131506,200013425,200013425
129500,200137281,200137281
129503,200137496,200137496
129508,200137496,200137496
129510,200137496,200137496
129726,200151459,200151459
129569,200138185,200138185
943,200211740,200211740
18439588,200066803,200066803
125654,200100176,200100176
130176,200188225,200188225
135439,200116390,200116390
131574,200059975,200059975
131579,200085975,200085975
131577,200085975,200085975
131578,200085919,200085919
131581,200086102,200086102
131582,200085981,200085981
135441,200114742,200114742
940,200211740,200211740
130183,200188225,200188225
3482,200139674,200139674
23052896,200139795,200139795
72604,200212559,200212559
22217811,200158866,200158866
129796,200143139,200143139
129797,200143139,200143139
129803,200143735,200143735
129804,200144721,200144721
129808,200144992,200144992
129810,200145833,200145833
