wbic,trout_clas
84000,CLASS II
91500,CLASS I
258200,CLASS II
259000,CLASS I
259300,CLASS I
261300,CLASS I
268700,CLASS I
284900,CLASS I
285600,CLASS I
288700,CLASS I
272600,CLASS II
273000,CLASS II
275400,CLASS I
278200,CLASS I
769800,CLASS I
371300,CLASS II
380000,CLASS I
383000,CLASS I
384600,CLASS I
387000,CLASS I
299700,CLASS I
301900,CLASS I
302400,CLASS I
303400,CLASS II
304100,CLASS I
294000,CLASS I
306000,CLASS I
306700,CLASS I
306900,CLASS I
308900,CLASS II
309300,CLASS I
311100,CLASS I
311400,CLASS I
312800,CLASS I
312950,CLASS I
313500,CLASS I
313600,CLASS I
318900,CLASS I
322300,CLASS I
87000,CLASS II
901000,CLASS II
448300,CLASS I
457800,CLASS III
458500,CLASS I
459800,CLASS I
460100,CLASS I
463600,CLASS I
465700,CLASS I
481100,CLASS III
484700,CLASS I
485400,CLASS I
488500,CLASS I
346700,CLASS I
348600,CLASS I
352600,CLASS I
355400,CLASS I
356500,CLASS I
367800,CLASS I
57200,CLASS I
848900,CLASS II
149900,CLASS I
151700,CLASS I
327250,CLASS I
327900,CLASS I
328700,CLASS I
330000,CLASS II
330700,CLASS I
332400,CLASS I
334900,CLASS I
336800,CLASS I
341200,CLASS I
342200,CLASS I
394000,CLASS II
401600,CLASS II
404500,CLASS I
166100,CLASS I
247800,CLASS II
248600,CLASS I
518000,CLASS II
518100,CLASS II
520400,CLASS I
521000,CLASS II
526000,CLASS I
529100,CLASS I
533400,CLASS II
535600,CLASS I
535900,CLASS II
541500,CLASS I
541600,CLASS II
515500,CLASS II
545900,CLASS I
560200,CLASS II
570300,CLASS I
570400,CLASS III
574900,CLASS II
550600,CLASS III
551500,CLASS II
711000,CLASS II
1352200,CLASS I
1374100,CLASS II
1377200,CLASS I
616300,CLASS I
621800,CLASS II
628300,CLASS I
632400,CLASS I
634800,CLASS II
642900,CLASS I
646700,CLASS I
647900,CLASS I
672100,CLASS I
676100,CLASS I
679700,CLASS II
681200,CLASS II
688900,CLASS II
699000,CLASS II
652900,CLASS III
653300,CLASS I
657400,CLASS I
669000,CLASS I
671400,CLASS II
709200,CLASS II
710100,CLASS II
1481900,CLASS II
1482100,CLASS II
1483400,CLASS I
1483500,CLASS I
1484000,CLASS II
1485300,CLASS II
1487200,CLASS II
1492100,CLASS I
1492600,CLASS II
1495200,CLASS II
1496900,CLASS II
1497000,CLASS II
1498800,CLASS II
1500500,CLASS I
1501000,CLASS I
1503200,CLASS I
1503500,CLASS II
1556600,CLASS I
1557100,CLASS II
1558600,CLASS I
1566500,CLASS III
1507200,CLASS I
1508000,CLASS I
1391400,CLASS I
1391600,CLASS I
1406800,CLASS I
1436200,CLASS II
1437100,CLASS II
1439400,CLASS I
1440800,CLASS I
1442300,CLASS II
1446800,CLASS II
1447300,CLASS II
1449200,CLASS II
1463300,CLASS III
1467900,CLASS II
1494100,CLASS II
1476700,CLASS II
1476800,CLASS II
1478700,CLASS II
1479800,CLASS II
1481200,CLASS II
1579300,CLASS I
1299800,CLASS II
1300700,CLASS III
1181700,CLASS II
1182700,CLASS I
1183200,CLASS III
1185500,CLASS I
1187900,CLASS II
1188500,CLASS I
1193100,CLASS I
1193600,CLASS II
1195700,CLASS II
1196900,CLASS II
1198300,CLASS III
1622500,CLASS II
1624500,CLASS I
1624800,CLASS I
1601800,CLASS I
1271100,CLASS II
1279000,CLASS II
1345400,CLASS II
1295200,CLASS II
